ID,Age_Years,Gender,Marital_Status,Education,Employment,Account_Tenure_Months,Account_Balance,Transaction_Frequency,Product_Count,Number_of_Complaints,Satisfaction_Rate,Support_Calls,Email_Subscription,Has_Credit_Card,Churn_Status,Customer_Value_Score,Engagement_Level,Risk_Profile
CUST0591,37,Male,Married,Secondary,Employed,178,783143,15,1,0,0.73,2,1,0,0,0.611,Low,Low_Risk
CUST1573,32,Female,Single,Secondary,Employed,180,549247,20,1,0,0.75,0,1,0,0,0.609,Medium,Low_Risk
CUST1299,35,Male,Married,Secondary,Employed,145,700927,22,3,0,0.63,0,1,0,0,0.608,High,Low_Risk
CUST1495,23,Female,Single,Primary,Employed,151,564460,24,2,0,0.53,0,1,0,0,0.606,Medium,Low_Risk
CUST1789,36,Male,Married,Secondary,Employed,159,611679,21,2,0,0.71,1,1,1,0,0.6,Medium,Low_Risk
CUST2911,47,Male,Single,Secondary,Employed,159,728948,18,2,0,0.8,1,1,0,0,0.597,Medium,Low_Risk
CUST0618,49,Male,Single,Primary,Employed,168,706261,17,2,0,0.54,1,1,0,0,0.596,Medium,Low_Risk
CUST1786,38,Male,Divorced,University,Employed,163,599928,20,2,1,0.58,0,0,1,0,0.593,Medium,Low_Risk
CUST0032,43,Female,Married,University,Unemployed,176,463170,21,4,0,0.5,0,1,0,0,0.592,High,Low_Risk
CUST0754,48,Male,Married,Primary,Unemployed,172,476414,21,1,0,0.64,1,1,1,0,0.589,Medium,Low_Risk
CUST1897,33,Female,Single,Secondary,Employed,174,661800,16,2,0,0.91,1,1,1,0,0.585,Medium,Low_Risk
CUST2682,25,Female,Married,,Self-employed,170,685309,16,2,0,0.54,4,1,0,0,0.584,Medium,Low_Risk
CUST0326,41,Male,Married,Primary,Employed,179,273308,24,2,0,0.54,1,0,0,0,0.582,Medium,Low_Risk
CUST1989,59,Female,Married,University,Employed,158,543605,21,1,0,0.54,1,1,0,0,0.582,Medium,Low_Risk
CUST0001,39,Male,Single,University,Unemployed,175,337885,23,2,0,0.6,2,0,0,0,0.581,Medium,Low_Risk
CUST2784,55,Female,Divorced,Primary,Self-employed,130,903839,17,3,0,0.71,5,1,1,0,0.581,Medium,Medium_Risk
CUST0083,30,Female,Married,Secondary,Self-employed,167,84144,30,2,0,0.58,0,0,1,0,0.578,High,Low_Risk
CUST1340,61,Male,Divorced,University,Employed,163,527703,20,3,0,0.69,2,1,0,0,0.576,Medium,Low_Risk
CUST1942,50,Female,Single,Secondary,Employed,145,651024,20,3,0,0.8,0,0,0,0,0.576,Medium,Low_Risk
CUST2646,31,Male,Divorced,University,Employed,180,576850,16,3,0,0.53,1,0,0,0,0.575,Medium,Low_Risk
CUST1922,35,Male,Married,University,Employed,175,268159,24,2,0,0.96,1,1,0,0,0.574,Medium,Low_Risk
CUST1512,32,Male,Single,Primary,Unemployed,174,17425,30,2,0,0.82,3,1,0,0,0.573,High,Low_Risk
CUST1464,39,Male,Single,Primary,Employed,180,431748,19,4,0,0.91,0,0,0,0,0.57,High,Low_Risk
CUST1716,38,Male,Married,University,Self-employed,161,858962,12,3,1,0.75,1,1,1,0,0.57,Medium,Low_Risk
CUST0272,47,Female,Married,Secondary,Self-employed,170,327982,23,3,0,0.51,0,1,0,0,0.57,High,Low_Risk
CUST2867,46,Male,Single,Secondary,Self-employed,128,354258,29,2,0,0.76,1,1,0,0,0.568,High,Low_Risk
CUST0980,38,Male,Single,Secondary,Employed,175,369618,21,2,0,0.62,0,0,0,0,0.568,Medium,Low_Risk
CUST1139,53,Male,Single,Secondary,Self-employed,171,724542,13,2,0,0.68,0,0,1,0,0.565,Medium,Low_Risk
CUST0369,18,Male,Single,Secondary,Self-employed,174,536972,17,1,0,0.52,1,0,1,0,0.565,Low,Low_Risk
CUST2463,30,Male,Married,Secondary,Employed,171,208550,25,2,0,0.74,0,1,0,0,0.563,Medium,Low_Risk
CUST1089,43,Female,Married,Secondary,Employed,170,421299,20,3,1,0.5,0,1,0,0,0.562,Medium,Low_Risk
CUST2381,18,Female,Single,Secondary,Employed,160,533317,19,1,0,0.67,1,0,1,0,0.562,Medium,Low_Risk
CUST2962,37,Female,Single,Secondary,Employed,174,520358,17,2,1,0.59,1,1,0,0,0.561,Medium,Low_Risk
CUST1506,31,Female,Married,Primary,Employed,35,1173274,24,2,1,0.93,0,1,0,0,0.56,Medium,Low_Risk
CUST1741,45,Female,Single,Primary,Self-employed,117,737096,21,2,0,0.92,0,1,0,0,0.56,Medium,Low_Risk
CUST1535,19,Male,Married,Primary,Employed,169,674946,14,3,0,0.98,0,1,0,0,0.559,Medium,Low_Risk
CUST0033,48,Female,Single,University,Employed,178,357216,20,4,0,0.57,0,0,1,0,0.559,High,Low_Risk
CUST0377,34,Male,Single,Primary,Self-employed,172,477057,18,4,0,0.79,0,0,1,0,0.558,High,Low_Risk
CUST1851,37,Female,Single,University,Employed,162,79300,29,1,0,0.77,2,0,0,0,0.558,Medium,Low_Risk
CUST2318,32,Female,Single,University,Self-employed,156,541128,19,3,0,0.77,2,0,0,0,0.557,Medium,Low_Risk
CUST0832,35,Male,Single,University,Employed,121,314907,30,1,0,0.85,1,0,0,0,0.557,Medium,Low_Risk
CUST0429,46,Male,Single,University,Self-employed,143,589559,20,2,1,0.89,1,0,0,0,0.557,Medium,Low_Risk
CUST0809,41,Female,Married,Primary,Employed,157,147011,28,1,0,0.98,0,0,0,0,0.556,Medium,Low_Risk
CUST1272,32,Male,Married,Primary,Employed,144,529724,21,3,1,0.7,1,1,0,0,0.555,Medium,Low_Risk
CUST0358,33,Female,Single,,Self-employed,170,608511,15,4,1,0.97,2,1,0,0,0.555,Medium,Low_Risk
CUST2986,35,Male,Married,Primary,Employed,176,346638,20,1,0,0.95,2,1,0,0,0.553,Medium,Low_Risk
CUST1849,39,Male,Single,Secondary,Self-employed,158,592620,17,3,0,0.57,1,1,0,0,0.552,Medium,Low_Risk
CUST2012,18,Male,Married,University,Employed,171,331090,21,1,0,0.73,0,1,1,0,0.552,Medium,Low_Risk
CUST0789,30,Female,Married,Secondary,Employed,172,450751,18,1,0,0.58,2,1,0,0,0.551,Medium,Low_Risk
CUST1144,18,Female,Married,Secondary,Unemployed,171,369668,20,3,0,0.84,1,1,1,0,0.551,Medium,Low_Risk
CUST1748,39,Male,Single,Primary,Self-employed,173,186428,24,2,0,0.76,0,1,0,0,0.551,Medium,Low_Risk
CUST0080,18,Male,Married,University,Employed,163,675881,14,2,0,0.76,2,0,1,0,0.55,Medium,Low_Risk
CUST0986,44,Female,Married,Primary,Employed,172,316316,21,2,0,0.87,1,1,0,0,0.55,Medium,Low_Risk
CUST1054,40,Male,Married,Secondary,Employed,79,959788,21,2,0,0.93,1,1,1,0,0.55,Medium,Low_Risk
CUST1959,46,Female,Married,Primary,Employed,168,342317,21,1,0,0.54,2,1,0,0,0.549,Medium,Low_Risk
CUST2553,35,Female,Single,Secondary,Employed,159,149762,27,3,0,0.62,1,0,0,0,0.549,High,Low_Risk
CUST0659,40,Female,Single,Secondary,Self-employed,165,187842,25,1,0,0.64,1,1,0,0,0.548,Medium,Low_Risk
CUST2908,44,Female,Single,University,Employed,162,710573,13,1,0,0.91,0,1,0,0,0.546,Low,Low_Risk
CUST1372,38,Male,Married,Secondary,Self-employed,178,212465,22,2,0,0.95,3,1,0,0,0.545,Medium,Low_Risk
CUST1901,29,Female,Divorced,Secondary,Unemployed,174,281685,21,1,1,0.51,1,1,0,0,0.545,Medium,Low_Risk
CUST2545,34,Female,Single,Secondary,Self-employed,162,27307,29,4,1,0.81,0,1,0,0,0.545,High,Low_Risk
CUST1472,22,Male,Married,University,Employed,171,428353,18,1,1,0.87,0,1,0,0,0.544,Medium,Low_Risk
CUST0345,45,Male,Married,Primary,Employed,180,112301,24,1,1,0.51,1,0,1,0,0.544,Medium,Low_Risk
CUST0342,27,Male,Single,Primary,Employed,133,518830,22,2,0,0.6,0,0,1,0,0.544,Medium,Low_Risk
CUST2314,47,Male,Married,Primary,Unemployed,151,354305,23,1,0,0.6,2,0,0,0,0.544,Medium,Low_Risk
CUST0083,22,Female,Single,Primary,Employed,166,418176,19,1,0,0.74,1,1,0,0,0.544,Medium,Low_Risk
CUST2706,24,Female,Single,Primary,Employed,174,659181,12,3,0,0.64,1,0,0,0,0.543,Medium,Low_Risk
CUST1614,30,Female,Married,Primary,Self-employed,137,530364,21,2,0,0.73,2,0,1,0,0.543,Medium,Low_Risk
CUST1981,37,Male,Married,Primary,Employed,144,690939,16,1,1,0.84,2,0,0,0,0.542,Low,Low_Risk
CUST2045,43,Male,Married,,Self-employed,172,535069,15,3,1,0.86,1,1,0,0,0.541,Medium,Low_Risk
CUST0445,42,Male,Married,Primary,Self-employed,151,292151,24,2,0,0.59,1,1,0,0,0.54,Medium,Low_Risk
CUST0510,28,Male,Single,,Employed,161,565488,16,2,0,0.97,3,1,0,0,0.54,Medium,Low_Risk
CUST0037,34,Male,Single,Primary,Self-employed,179,309972,19,3,0,0.84,0,1,0,0,0.539,Medium,Low_Risk
CUST2837,39,Female,Single,Primary,Employed,140,491586,21,1,0,0.5,1,1,1,0,0.539,Medium,Low_Risk
CUST0202,36,Female,Single,Primary,Self-employed,179,309149,19,1,0,0.82,2,1,1,0,0.539,Medium,Low_Risk
CUST2444,50,Male,Single,,Self-employed,179,9340,26,2,0,0.75,0,1,0,0,0.538,Medium,Low_Risk
CUST2294,22,Male,Single,Primary,Employed,177,23268,26,1,0,0.96,3,1,0,0,0.538,Medium,Low_Risk
CUST1234,39,Male,Married,,Self-employed,174,380641,18,1,1,0.52,5,1,1,0,0.538,Medium,Medium_Risk
CUST0943,38,Male,Single,,Employed,133,447550,23,1,0,0.7,0,1,0,0,0.537,Medium,Low_Risk
CUST1091,31,Male,Single,Secondary,Self-employed,154,814914,11,1,0,0.74,1,1,1,0,0.537,Low,Low_Risk
CUST2622,38,Female,Single,Secondary,Employed,161,504275,17,1,0,0.72,2,1,1,0,0.536,Low,Low_Risk
CUST1198,59,Female,Married,Secondary,Employed,171,262528,21,1,0,0.88,1,1,0,0,0.535,Medium,Low_Risk
CUST0245,29,Female,Married,Secondary,Employed,177,436009,16,1,0,0.69,1,1,1,0,0.535,Low,Low_Risk
CUST2123,44,Female,Married,Secondary,Employed,118,882390,15,3,0,0.65,0,1,0,0,0.535,Medium,Low_Risk
CUST1548,40,Female,Married,Secondary,Self-employed,169,143940,24,3,0,0.91,2,1,1,0,0.534,High,Low_Risk
CUST2172,40,Female,Single,Secondary,Self-employed,141,339263,24,1,0,0.96,0,0,0,0,0.534,Medium,Low_Risk
CUST0777,38,Male,Single,Secondary,Self-employed,175,360726,18,2,0,0.97,0,1,0,0,0.534,Medium,Low_Risk
CUST0675,31,Female,Married,Primary,Self-employed,171,512185,15,1,0,0.87,2,1,0,0,0.534,Low,Low_Risk
CUST1135,50,Female,Single,University,Employed,177,49234,25,2,1,0.87,1,1,0,0,0.534,Medium,Low_Risk
CUST0240,31,Female,Married,Secondary,Self-employed,169,358339,19,1,0,0.88,0,1,0,0,0.534,Medium,Low_Risk
CUST1031,33,Female,Married,Secondary,Employed,157,649111,14,1,0,0.57,5,0,0,0,0.533,Low,Medium_Risk
CUST1529,18,Female,Single,University,Employed,162,445673,18,1,1,0.64,0,1,0,0,0.533,Medium,Low_Risk
CUST2184,54,Male,Married,Primary,Employed,161,407191,19,2,0,0.58,2,1,1,0,0.533,Medium,Low_Risk
CUST0323,24,Female,Married,Primary,Employed,179,157971,22,1,0,0.89,0,1,0,0,0.533,Medium,Low_Risk
CUST2528,37,Male,Single,,Employed,164,346631,20,2,0,0.77,1,1,1,0,0.533,Medium,Low_Risk
CUST1787,38,Female,Married,Secondary,Self-employed,173,410172,17,3,1,0.52,0,0,0,0,0.533,Medium,Low_Risk
CUST2096,26,Male,Married,University,Employed,98,712108,22,1,0,0.8,0,0,1,0,0.532,Medium,Low_Risk
CUST2576,60,Female,Single,University,Employed,171,38852,26,1,0,0.74,0,1,0,0,0.532,Medium,Low_Risk
CUST2362,27,Female,Single,University,Employed,146,380755,22,4,1,0.71,1,1,0,0,0.532,High,Low_Risk
CUST1387,38,Female,Single,,Self-employed,102,936471,16,1,0,0.77,3,1,1,0,0.532,Low,Low_Risk
CUST0693,47,Male,Married,Primary,Employed,178,116137,23,1,0,0.51,0,1,1,0,0.532,Medium,Low_Risk
CUST0707,29,Female,Married,Secondary,Unemployed,175,433425,16,1,0,0.81,0,0,1,0,0.531,Low,Low_Risk
CUST2598,34,Male,Married,Secondary,Self-employed,174,133123,23,1,0,0.7,1,0,0,0,0.529,Medium,Low_Risk
CUST1803,31,Male,Married,University,Self-employed,155,433824,19,1,0,0.81,0,1,1,0,0.529,Medium,Low_Risk
CUST2071,26,Male,Married,,Unemployed,154,350123,21,3,0,0.79,2,1,0,0,0.528,Medium,Low_Risk
CUST0696,37,Female,Single,Primary,Employed,173,91667,24,3,0,0.63,2,1,0,0,0.528,High,Low_Risk
CUST2924,34,Female,Single,Primary,Employed,172,355222,18,2,0,0.89,2,0,0,0,0.528,Medium,Low_Risk
CUST2131,30,Female,Married,,Employed,173,386798,17,2,0,0.7,2,1,0,0,0.527,Medium,Low_Risk
CUST1703,42,Male,Married,Primary,Self-employed,145,364909,22,2,0,0.68,1,1,0,0,0.527,Medium,Low_Risk
CUST2960,43,Female,Divorced,,Self-employed,139,407054,22,1,0,0.93,3,1,0,0,0.527,Medium,Low_Risk
CUST0655,37,Female,Married,University,Employed,179,128763,22,2,0,0.83,1,0,1,0,0.526,Medium,Low_Risk
CUST0822,18,Female,Married,University,Employed,123,511984,22,3,0,0.56,2,1,1,0,0.526,High,Low_Risk
CUST0897,38,Male,Divorced,Secondary,Employed,154,514936,17,3,0,0.62,1,1,0,0,0.526,Medium,Low_Risk
CUST1735,33,Male,Divorced,,Employed,161,544458,15,2,0,0.54,1,1,0,0,0.525,Medium,Low_Risk
CUST2929,55,Male,Single,Primary,Employed,133,484340,21,3,0,0.8,1,0,0,0,0.525,Medium,Low_Risk
CUST0012,39,Male,Single,Secondary,Employed,135,722572,15,1,0,0.69,2,1,1,0,0.524,Low,Low_Risk
CUST2003,27,Female,Single,Primary,Employed,156,575347,15,3,0,0.83,1,0,0,0,0.524,Medium,Low_Risk
CUST1344,21,Female,Divorced,University,Employed,157,395772,19,3,0,0.8,0,1,0,0,0.523,Medium,Low_Risk
CUST0241,50,Female,Divorced,Primary,Self-employed,171,384115,17,2,0,0.56,1,1,0,0,0.523,Medium,Low_Risk
CUST2441,54,Male,Single,,Employed,171,255686,20,2,0,0.5,2,1,1,0,0.523,Medium,Low_Risk
CUST1317,42,Male,Married,Secondary,Employed,169,56100,25,2,0,0.94,0,1,0,0,0.523,Medium,Low_Risk
CUST1665,33,Female,Married,Secondary,Employed,153,679300,13,2,1,0.5,2,1,1,0,0.523,Medium,Low_Risk
CUST1299,34,Male,Married,,Employed,135,625762,17,2,0,0.62,1,1,0,0,0.522,Medium,Low_Risk
CUST2405,33,Male,Single,Primary,Employed,176,515571,13,1,0,0.79,1,1,0,0,0.522,Low,Low_Risk
CUST0417,54,Male,Married,Secondary,Employed,176,216675,20,1,0,0.68,1,0,1,0,0.522,Medium,Low_Risk
CUST0745,30,Female,Divorced,Primary,Employed,163,134408,24,3,0,0.97,1,1,0,0,0.521,High,Low_Risk
CUST1962,32,Female,Divorced,Secondary,Employed,176,172395,21,3,0,0.59,0,1,1,0,0.521,Medium,Low_Risk
CUST2698,40,Male,Married,Secondary,Employed,178,283466,18,1,2,0.51,1,0,0,0,0.521,Medium,Medium_Risk
CUST1376,37,Female,Married,Primary,Employed,142,489650,19,4,1,0.52,1,0,1,0,0.521,High,Low_Risk
CUST1092,40,Male,Married,Primary,Employed,172,156275,22,3,1,0.86,0,1,0,0,0.521,High,Low_Risk
CUST2215,53,Female,Single,University,Employed,131,774003,14,2,0,0.79,1,1,0,0,0.52,Medium,Low_Risk
CUST1404,34,Male,Single,University,Employed,157,249255,22,2,0,0.83,2,1,0,0,0.519,Medium,Low_Risk
CUST2594,38,Male,Married,,Employed,171,25783,25,4,0,0.68,0,1,0,0,0.519,High,Low_Risk
CUST0923,28,Female,Married,Secondary,Self-employed,164,201528,22,1,1,0.72,2,1,1,0,0.519,Medium,Low_Risk
CUST2398,18,Male,Single,Primary,Employed,146,626385,15,4,0,0.83,1,1,0,0,0.519,Medium,Low_Risk
CUST1987,27,Female,Single,Secondary,Employed,168,219379,21,2,1,0.62,0,1,0,0,0.519,Medium,Low_Risk
CUST2755,20,Male,Single,Secondary,Employed,134,407257,22,3,0,0.6,1,1,0,0,0.518,High,Low_Risk
CUST2727,34,Male,Single,Secondary,Self-employed,178,524225,12,2,0,0.67,1,1,0,0,0.517,Low,Low_Risk
CUST1850,18,Male,Single,Secondary,Self-employed,170,237173,20,1,0,0.59,0,1,0,0,0.517,Medium,Low_Risk
CUST1007,36,Male,Single,Secondary,Employed,173,429077,15,2,0,0.61,2,1,0,0,0.517,Medium,Low_Risk
CUST0720,42,Male,Divorced,,Employed,162,249027,21,3,0,0.88,2,0,0,0,0.517,Medium,Low_Risk
CUST0234,35,Male,Married,Secondary,Employed,129,138038,29,2,0,0.59,0,1,0,0,0.517,High,Low_Risk
CUST0634,22,Female,Married,Primary,Employed,164,194275,22,1,0,0.64,0,1,0,0,0.517,Medium,Low_Risk
CUST0964,48,Male,Divorced,University,Employed,169,154264,22,2,0,0.58,3,0,0,0,0.516,Medium,Low_Risk
CUST1203,26,Female,Single,Primary,Self-employed,157,111844,25,1,0,0.58,0,1,0,0,0.516,Medium,Low_Risk
CUST1127,21,Male,Single,University,Employed,125,672027,17,1,1,0.65,3,1,0,0,0.516,Low,Medium_Risk
CUST2507,31,Male,Married,Secondary,Employed,134,228959,26,1,0,0.92,2,1,0,0,0.516,Medium,Low_Risk
CUST1468,43,Male,Single,Secondary,Employed,175,282758,18,2,0,0.62,0,1,1,0,0.515,Medium,Low_Risk
CUST1841,34,Female,Married,Primary,Unemployed,171,11960,25,2,1,0.99,0,1,0,0,0.515,Medium,Low_Risk
CUST2470,26,Male,Single,Primary,Employed,160,383715,18,2,0,0.77,1,0,0,0,0.515,Medium,Low_Risk
CUST0077,46,Female,Married,Secondary,Unemployed,157,571843,14,1,0,0.94,2,1,0,0,0.514,Low,Low_Risk
CUST0871,46,Female,Divorced,Secondary,Self-employed,145,184955,25,2,0,0.67,1,1,0,0,0.514,Medium,Low_Risk
CUST2463,28,Male,Married,Primary,Self-employed,125,918939,11,1,2,0.53,0,1,0,0,0.514,Low,Low_Risk
CUST0617,18,Female,Married,Primary,Employed,175,319616,17,3,0,0.62,2,1,1,0,0.514,Medium,Low_Risk
CUST1780,18,Female,Single,Primary,Employed,174,238988,19,1,0,0.98,0,0,0,0,0.514,Medium,Low_Risk
CUST2264,18,Male,Single,University,Unemployed,163,275676,20,2,0,0.61,1,1,0,0,0.514,Medium,Low_Risk
CUST2558,22,Male,Single,Secondary,Employed,178,257217,18,1,0,0.62,0,1,1,0,0.514,Medium,Low_Risk
CUST0843,28,Male,Married,University,Self-employed,175,146496,21,2,0,0.83,1,1,1,0,0.513,Medium,Low_Risk
CUST2780,49,Male,Single,Secondary,Employed,176,266222,18,1,2,0.89,3,1,1,0,0.513,Medium,Medium_Risk
CUST0306,20,Male,Married,Primary,Self-employed,177,171771,20,1,0,0.73,3,0,0,0,0.513,Medium,Low_Risk
CUST2748,28,Female,Single,University,Self-employed,166,78638,24,1,0,0.6,0,1,0,0,0.513,Medium,Low_Risk
CUST0856,23,Male,Married,University,Employed,178,295105,17,1,0,0.95,1,1,1,0,0.513,Low,Low_Risk
CUST1350,36,Male,Married,Secondary,Employed,179,288215,17,3,0,0.64,4,1,1,0,0.513,Medium,Low_Risk
CUST0055,27,Male,Single,Primary,Employed,176,266470,18,1,1,0.74,3,0,0,0,0.513,Medium,Medium_Risk
CUST2838,20,Male,Single,University,Employed,162,275792,20,3,1,0.75,1,0,0,0,0.513,Medium,Low_Risk
CUST1711,30,Male,Single,Primary,Self-employed,176,264789,18,1,0,0.92,1,1,0,0,0.513,Medium,Low_Risk
CUST2257,37,Female,Single,Secondary,Employed,167,407769,16,4,1,0.82,0,1,1,0,0.512,Medium,Low_Risk
CUST2710,33,Female,Married,University,Employed,159,547154,14,2,0,0.59,0,0,0,0,0.512,Medium,Low_Risk
CUST0873,38,Male,Single,,Self-employed,159,334603,19,4,0,0.68,0,0,0,0,0.512,High,Low_Risk
CUST0243,32,Male,Married,University,Self-employed,163,480303,15,1,1,0.78,1,1,1,0,0.512,Low,Low_Risk
CUST1246,54,Female,Married,Secondary,Unemployed,176,90829,22,2,0,0.86,0,1,0,0,0.512,Medium,Low_Risk
CUST1345,33,Male,Married,Secondary,Self-employed,115,979959,11,1,0,0.75,0,1,0,0,0.512,Low,Low_Risk
CUST2942,26,Male,Single,University,Employed,179,71475,22,1,0,0.7,4,1,0,0,0.512,Medium,Low_Risk
CUST1019,36,Male,Single,Primary,Self-employed,130,149378,28,2,0,0.67,1,0,0,0,0.511,High,Low_Risk
CUST2131,26,Male,Married,University,Employed,156,308538,20,3,0,0.55,2,1,1,0,0.511,Medium,Low_Risk
CUST0195,40,Male,Divorced,Primary,Self-employed,151,386561,19,4,1,0.87,1,0,0,0,0.511,High,Low_Risk
CUST0035,28,Male,Single,University,Employed,172,283782,18,1,0,0.77,0,1,0,0,0.511,Medium,Low_Risk
CUST1608,42,Female,Married,,Employed,158,82725,25,1,1,0.81,1,0,0,0,0.511,Medium,Low_Risk
CUST0534,46,Female,Single,Secondary,Employed,146,338212,21,1,0,0.75,2,1,1,0,0.511,Medium,Low_Risk
CUST1819,26,Female,Single,Primary,Employed,155,403815,18,1,0,0.61,2,1,1,0,0.511,Medium,Low_Risk
CUST0348,34,Female,Married,Primary,Self-employed,157,469796,16,4,0,0.96,2,0,1,0,0.51,Medium,Low_Risk
CUST1581,32,Male,Single,Primary,Self-employed,152,331943,20,2,0,0.94,0,1,0,0,0.51,Medium,Low_Risk
CUST0406,41,Female,Divorced,Primary,Employed,101,385337,27,3,1,0.52,1,1,0,0,0.51,High,Low_Risk
CUST2520,41,Male,Married,Secondary,Employed,178,495043,12,4,0,0.65,0,1,0,0,0.51,Medium,Low_Risk
CUST1738,27,Male,Married,Primary,Self-employed,121,498991,21,4,0,0.52,2,1,0,0,0.509,High,Low_Risk
CUST1725,39,Female,Married,Secondary,Employed,176,122068,21,1,0,0.76,1,0,0,0,0.509,Medium,Low_Risk
CUST2804,27,Female,Married,Primary,Self-employed,176,248700,18,3,1,0.9,0,1,0,0,0.509,Medium,Low_Risk
CUST1276,35,Female,Married,University,Self-employed,167,222122,20,2,0,0.51,1,1,0,0,0.508,Medium,Low_Risk
CUST0367,30,Male,Married,University,Self-employed,162,87032,24,4,0,0.94,1,0,0,0,0.508,High,Low_Risk
CUST0340,35,Male,Single,Primary,Employed,173,96580,22,4,0,0.58,1,1,0,0,0.508,High,Low_Risk
CUST0969,44,Female,Single,Primary,Self-employed,175,120852,21,2,0,0.88,1,0,1,0,0.507,Medium,Low_Risk
CUST1405,38,Male,Single,University,Employed,154,51066,26,3,0,0.64,1,1,1,0,0.507,High,Low_Risk
CUST2959,30,Male,Married,Secondary,Employed,148,93308,26,2,0,0.86,0,1,0,0,0.507,Medium,Low_Risk
CUST1926,28,Female,Married,University,Self-employed,168,382681,16,1,1,0.51,1,1,0,0,0.507,Low,Low_Risk
CUST1005,45,Female,Married,Secondary,Self-employed,162,338500,18,3,0,0.61,1,1,0,0,0.507,Medium,Low_Risk
CUST2246,40,Female,Married,Secondary,Employed,160,777995,8,2,0,0.55,1,1,0,0,0.507,Low,Low_Risk
CUST2750,42,Male,Single,Secondary,Self-employed,152,490290,16,1,1,0.7,3,0,1,0,0.507,Low,Medium_Risk
CUST1533,33,Male,Married,Primary,Employed,179,391202,14,3,0,0.99,2,0,0,0,0.507,Medium,Low_Risk
CUST0380,61,Female,Married,Secondary,Employed,160,479121,15,4,0,0.5,2,1,0,0,0.507,Medium,Low_Risk
CUST1089,31,Male,Married,Primary,Self-employed,150,329420,20,1,0,0.67,1,1,0,0,0.506,Medium,Low_Risk
CUST0264,47,Female,Married,Secondary,Self-employed,145,363601,20,1,0,0.72,1,1,0,0,0.506,Medium,Low_Risk
CUST0935,29,Female,Divorced,,Employed,178,12357,23,1,0,0.83,0,0,1,0,0.506,Medium,Low_Risk
CUST0154,47,Male,Married,Secondary,Employed,171,692012,8,3,0,0.81,2,1,0,0,0.505,Medium,Low_Risk
CUST2173,28,Female,Married,Primary,Employed,152,398615,18,3,0,0.54,2,1,0,0,0.505,Medium,Low_Risk
CUST0661,24,Male,Divorced,Secondary,Self-employed,135,176217,26,1,0,0.83,1,1,0,0,0.505,Medium,Low_Risk
CUST2689,28,Male,Single,Primary,Self-employed,113,749979,16,1,0,0.81,0,1,0,0,0.505,Low,Low_Risk
CUST1403,35,Male,Married,Primary,Self-employed,130,721619,14,1,0,0.74,1,0,0,0,0.505,Low,Low_Risk
CUST0700,21,Male,Married,University,Employed,179,339100,15,3,0,0.98,0,1,0,0,0.505,Medium,Low_Risk
CUST1791,24,Male,Married,University,Unemployed,88,368661,29,2,0,0.81,0,1,1,0,0.504,High,Low_Risk
CUST1101,45,Male,Single,Primary,Employed,160,678316,10,1,1,0.94,0,1,0,0,0.504,Low,Low_Risk
CUST0143,49,Female,Single,Secondary,Self-employed,163,361790,17,1,0,0.56,1,1,0,0,0.504,Low,Low_Risk
CUST2141,25,Male,Married,University,Self-employed,158,436570,16,2,1,0.91,1,0,1,0,0.504,Medium,Low_Risk
